protocol,length,src_port,dst_port,anomaly
5,60,40232.0,10566.0,0
5,60,40232.0,32771.0,0
5,60,40232.0,3030.0,0
5,60,40232.0,32770.0,0
5,60,40232.0,1443.0,0
5,60,40232.0,7512.0,0
5,60,40232.0,2701.0,0
5,60,40232.0,1068.0,0
5,60,40232.0,6669.0,0
5,60,40230.0,7007.0,0
5,60,40230.0,8087.0,0
5,60,40232.0,52848.0,1
5,60,40232.0,33.0,0
5,60,40232.0,1102.0,0
5,60,40232.0,8899.0,0
5,60,40232.0,1072.0,0
5,60,40232.0,50800.0,1
5,60,40232.0,1034.0,0
5,60,40232.0,5678.0,0
5,60,40232.0,4224.0,0
5,60,40232.0,545.0,0
5,60,40232.0,1840.0,0
5,60,40232.0,4006.0,0
5,60,40232.0,7625.0,0
5,60,40232.0,1037.0,0
5,60,40232.0,33354.0,0
5,60,40232.0,8082.0,0
5,60,40232.0,22939.0,0
5,60,40232.0,7070.0,0
5,60,40232.0,366.0,0
5,60,40232.0,1039.0,0
5,60,40232.0,5357.0,0
5,60,40232.0,1009.0,0
5,60,40232.0,6106.0,0
5,60,40232.0,1169.0,0
5,60,40232.0,1455.0,0
5,60,40232.0,2998.0,0
5,60,40232.0,2040.0,0
5,60,40232.0,2006.0,0
5,60,40232.0,2001.0,0
5,60,40232.0,5080.0,0
5,60,40232.0,5633.0,0
5,60,40232.0,3011.0,0
5,60,40232.0,1164.0,0
5,60,40232.0,2045.0,0
5,60,40232.0,513.0,0
5,60,40232.0,2021.0,0
5,60,40232.0,1053.0,0
5,60,40232.0,10010.0,0
5,60,40232.0,1098.0,0
5,60,40232.0,1163.0,0
5,60,40232.0,1783.0,0
5,60,40232.0,1718.0,0
5,60,40232.0,55055.0,1
5,60,40232.0,4443.0,0
5,60,40232.0,2068.0,0
5,60,40232.0,1311.0,0
5,60,40232.0,144.0,0
5,60,40232.0,5000.0,0
5,60,40232.0,7911.0,0
5,60,40232.0,8081.0,0
5,60,40232.0,3869.0,0
5,60,40232.0,6025.0,0
5,60,40230.0,5911.0,0
5,60,40230.0,1010.0,0
5,60,40230.0,1641.0,0
5,60,40230.0,44442.0,1
5,60,40230.0,5915.0,0
5,60,40230.0,1124.0,0
5,60,40230.0,1069.0,0
5,60,40230.0,30000.0,1
5,60,40230.0,3071.0,0
5,60,40230.0,1112.0,0
5,60,40230.0,61532.0,1
5,60,40230.0,900.0,0
5,60,40230.0,5405.0,0
5,60,40230.0,3283.0,0
5,60,40230.0,12174.0,0
5,60,40230.0,15742.0,0
5,60,40230.0,2048.0,0
5,60,40230.0,9071.0,0
5,60,40230.0,668.0,0
5,60,40230.0,264.0,0
5,60,40232.0,8087.0,0
5,60,40232.0,7007.0,0
5,60,40230.0,3766.0,0
5,60,40230.0,9415.0,0
5,60,40230.0,5101.0,0
5,60,40230.0,5901.0,0
5,60,40230.0,1145.0,0
5,60,40230.0,2190.0,0
5,60,40230.0,6156.0,0
5,60,40230.0,7443.0,0
5,60,40230.0,3527.0,0
5,60,40230.0,1234.0,0
5,60,40230.0,1074.0,0
5,60,40230.0,10009.0,0
5,60,40230.0,903.0,0
5,60,40230.0,1533.0,0
5,60,40230.0,6789.0,0
5,60,40230.0,3031.0,0
5,60,40230.0,425.0,0
5,60,40230.0,6699.0,0
5,60,40230.0,32782.0,0
5,60,40230.0,50001.0,1
5,60,40230.0,497.0,0
5,60,40230.0,2525.0,0
5,60,40230.0,1024.0,0
5,60,40230.0,7937.0,0
5,60,40230.0,6792.0,0
5,60,40230.0,1287.0,0
5,60,40230.0,49165.0,1
5,60,40230.0,5988.0,0
5,60,40230.0,543.0,0
5,60,40230.0,64623.0,1
5,60,40230.0,1047.0,0
5,60,40230.0,20000.0,0
5,60,40230.0,8291.0,0
5,60,40230.0,9595.0,0
5,60,40230.0,7741.0,0
5,60,40230.0,544.0,0
5,60,40230.0,5989.0,0
5,60,40230.0,6779.0,0
5,60,40230.0,26.0,0
5,60,40230.0,6543.0,0
5,60,40230.0,1084.0,0
5,60,40230.0,1594.0,0
5,60,40230.0,10621.0,0
5,60,40230.0,9485.0,0
5,60,40232.0,1010.0,0
5,60,40232.0,5911.0,0
5,60,40230.0,1259.0,0
5,60,40230.0,1064.0,0
5,60,40230.0,10626.0,0
5,60,40230.0,2604.0,0
5,60,40230.0,63331.0,1
5,60,40230.0,2605.0,0
5,60,40230.0,5298.0,0
5,60,40230.0,3260.0,0
5,60,40230.0,13722.0,0
5,60,40232.0,44442.0,1
5,60,40232.0,1641.0,0
5,60,40232.0,1124.0,0
5,60,40232.0,5915.0,0
5,60,40232.0,1069.0,0
5,60,40232.0,30000.0,0
5,60,40232.0,1112.0,0
5,60,40232.0,3071.0,0
5,60,40232.0,15742.0,0
5,60,40232.0,12174.0,0
5,60,40232.0,3283.0,0
5,60,40232.0,5405.0,0
5,60,40232.0,900.0,0
5,60,40232.0,61532.0,1
5,60,40232.0,2048.0,0
5,60,40232.0,668.0,0
5,60,40232.0,9071.0,0
5,60,40232.0,264.0,0
5,60,40232.0,3766.0,0
5,60,40230.0,1111.0,0
5,60,40230.0,52869.0,1
5,60,40232.0,5101.0,0
5,60,40232.0,9415.0,0
5,60,40232.0,425.0,0
5,60,40232.0,3031.0,0
5,60,40232.0,6789.0,0
5,60,40232.0,1533.0,0
5,60,40232.0,903.0,0
5,60,40232.0,10009.0,0
5,60,40232.0,1074.0,0
5,60,40232.0,1234.0,0
5,60,40232.0,3527.0,0
5,60,40232.0,7443.0,0
5,60,40232.0,6156.0,0
5,60,40232.0,2190.0,0
5,60,40232.0,1145.0,0
