time,src_ip,dst_ip,protocol,length,src_port,dst_port,label
1774124084.514837200,192.168.159.130,192.168.159.128,TCP,60,40232,1500,1
1774124084.518191800,192.168.159.130,192.168.159.128,TCP,60,40232,1271,1
1774124084.518275100,192.168.159.130,192.168.159.128,TCP,60,40232,801,1
1774124084.518303800,192.168.159.130,192.168.159.128,TCP,60,40232,1000,1
1774124084.520603500,192.168.159.130,192.168.159.128,TCP,60,40232,32769,1
1774124084.523631400,192.168.159.130,192.168.159.128,TCP,60,40232,10012,1
1774124084.525868900,192.168.159.130,192.168.159.128,TCP,60,40232,4900,1
1774124084.525907700,192.168.159.130,192.168.159.128,TCP,60,40232,1233,1
1774124084.525924000,192.168.159.130,192.168.159.128,TCP,60,40232,4000,1
1774124084.525943300,192.168.159.130,192.168.159.128,TCP,60,40232,5825,1
1774124084.525971300,192.168.159.130,192.168.159.128,TCP,60,40232,60020,1
1774124084.525991000,192.168.159.130,192.168.159.128,TCP,60,40232,50500,1
1774124084.526013600,192.168.159.130,192.168.159.128,TCP,60,40232,1658,1
1774124084.526031700,192.168.159.130,192.168.159.128,TCP,60,40232,8200,1
1774124084.526060300,192.168.159.130,192.168.159.128,TCP,60,40232,10025,1
1774124084.606186800,192.168.159.130,192.168.159.128,TCP,60,40230,2602,1
1774124084.609596000,192.168.159.130,192.168.159.128,TCP,60,40230,1107,1
1774124084.612482300,192.168.159.130,192.168.159.128,TCP,60,40230,5810,1
1774124084.615300500,192.168.159.130,192.168.159.128,TCP,60,40230,2800,1
1774124084.618938400,192.168.159.130,192.168.159.128,TCP,60,40230,10000,1
1774124084.619025600,192.168.159.130,192.168.159.128,TCP,60,40230,3905,1
1774124084.619056100,192.168.159.130,192.168.159.128,TCP,60,40230,2103,1
1774124084.622545800,192.168.159.130,192.168.159.128,TCP,60,40230,16113,1
1774124084.625001700,192.168.159.130,192.168.159.128,TCP,60,40230,1300,1
1774124084.627892700,192.168.159.130,192.168.159.128,TCP,60,40230,9200,1
1774124084.628019200,192.168.159.130,192.168.159.128,TCP,60,40230,1137,1
1774124084.628086700,192.168.159.130,192.168.159.128,TCP,60,40230,4002,1
1774124084.628143200,192.168.159.130,192.168.159.128,TCP,60,40230,687,1
1774124084.628203700,192.168.159.130,192.168.159.128,TCP,60,40230,1110,1
1774124084.628317200,192.168.159.130,192.168.159.128,TCP,60,40230,465,1
1774124084.628500200,192.168.159.130,192.168.159.128,TCP,60,40230,2004,1
1774124084.628563400,192.168.159.130,192.168.159.128,TCP,60,40230,8045,1
1774124084.628578900,192.168.159.130,192.168.159.128,TCP,60,40230,9898,1
1774124084.706420300,192.168.159.130,192.168.159.128,TCP,60,40232,2602,1
1774124084.709750400,192.168.159.130,192.168.159.128,TCP,60,40232,1107,1
1774124084.712592500,192.168.159.130,192.168.159.128,TCP,60,40232,5810,1
1774124084.715436100,192.168.159.130,192.168.159.128,TCP,60,40232,2800,1
1774124084.719665600,192.168.159.130,192.168.159.128,TCP,60,40232,2103,1
1774124084.719737200,192.168.159.130,192.168.159.128,TCP,60,40232,3905,1
1774124084.719764000,192.168.159.130,192.168.159.128,TCP,60,40232,10000,1
1774124084.722648800,192.168.159.130,192.168.159.128,TCP,60,40232,16113,1
1774124084.725121900,192.168.159.130,192.168.159.128,TCP,60,40232,1300,1
1774124084.728028700,192.168.159.130,192.168.159.128,TCP,60,40232,9200,1
1774124084.730256900,192.168.159.130,192.168.159.128,TCP,60,40232,9898,1
1774124084.730322200,192.168.159.130,192.168.159.128,TCP,60,40232,8045,1
1774124084.730349800,192.168.159.130,192.168.159.128,TCP,60,40232,2004,1
1774124084.730368600,192.168.159.130,192.168.159.128,TCP,60,40232,465,1
1774124084.730421800,192.168.159.130,192.168.159.128,TCP,60,40232,1110,1
1774124084.730462100,192.168.159.130,192.168.159.128,TCP,60,40232,687,1
1774124084.730493400,192.168.159.130,192.168.159.128,TCP,60,40232,4002,1
1774124084.730519200,192.168.159.130,192.168.159.128,TCP,60,40232,1137,1
1774124084.806623000,192.168.159.130,192.168.159.128,TCP,60,40230,5030,1
1774124084.810020100,192.168.159.130,192.168.159.128,TCP,60,40230,3703,1
1774124084.812803300,192.168.159.130,192.168.159.128,TCP,60,40230,1600,1
1774124084.815551200,192.168.159.130,192.168.159.128,TCP,60,40230,2010,1
1774124084.819784700,192.168.159.130,192.168.159.128,TCP,60,40230,3493,1
1774124084.819839900,192.168.159.130,192.168.159.128,TCP,60,40230,4662,1
1774124084.822026100,192.168.159.130,192.168.159.128,TCP,60,40230,3580,1
1774124084.824227600,192.168.159.130,192.168.159.128,TCP,60,40230,49160,1
1774124084.826459600,192.168.159.130,192.168.159.128,TCP,60,40230,9080,1
1774124084.829005100,192.168.159.130,192.168.159.128,TCP,60,40230,7435,1
1774124084.831435700,192.168.159.130,192.168.159.128,TCP,60,40230,5998,1
1774124084.831496100,192.168.159.130,192.168.159.128,TCP,60,40230,17988,1
1774124084.831520000,192.168.159.130,192.168.159.128,TCP,60,40230,5560,1
1774124084.831539100,192.168.159.130,192.168.159.128,TCP,60,40230,2608,1
1774124084.831560300,192.168.159.130,192.168.159.128,TCP,60,40230,9110,1
1774124084.831578300,192.168.159.130,192.168.159.128,TCP,60,40230,49,1
1774124084.831601600,192.168.159.130,192.168.159.128,TCP,60,40230,1130,1
1774124084.831655500,192.168.159.130,192.168.159.128,TCP,60,40230,5054,1
1774124084.906855800,192.168.159.130,192.168.159.128,TCP,60,40235,135,1
1774124084.907626000,192.168.159.128,192.168.159.130,TCP,58,135,40235,1
1774124084.907852900,192.168.159.130,192.168.159.128,TCP,60,40235,135,1
1774124084.910030200,192.168.159.130,192.168.159.128,TCP,60,40232,3703,1
1774124084.910162400,192.168.159.130,192.168.159.128,TCP,60,40232,5030,1
1774124084.910201600,192.168.159.130,192.168.159.128,TCP,60,40230,10243,1
1774124084.910221800,192.168.159.130,192.168.159.128,TCP,60,40230,49154,1
1774124084.910242800,192.168.159.130,192.168.159.128,TCP,60,40230,3809,1
1774124084.910261800,192.168.159.130,192.168.159.128,TCP,60,40230,9944,1
1774124084.910278900,192.168.159.130,192.168.159.128,TCP,60,40230,2161,1
1774124084.910296000,192.168.159.130,192.168.159.128,TCP,60,40230,4005,1
1774124084.910313600,192.168.159.130,192.168.159.128,TCP,60,40230,32773,1
1774124084.910343900,192.168.159.130,192.168.159.128,TCP,60,40230,7100,1
1774124084.910379000,192.168.159.130,192.168.159.128,TCP,60,40230,7000,1
1774124084.910403200,192.168.159.130,192.168.159.128,TCP,60,40230,2875,1
1774124084.910427200,192.168.159.130,192.168.159.128,TCP,60,40230,3261,1
1774124084.910455900,192.168.159.130,192.168.159.128,TCP,60,40230,3128,1
1774124084.910487600,192.168.159.130,192.168.159.128,TCP,60,40230,700,1
1774124084.910515600,192.168.159.130,192.168.159.128,TCP,60,40230,1058,1
1774124084.910617700,192.168.159.130,192.168.159.128,TCP,60,40230,464,1
1774124084.910664000,192.168.159.130,192.168.159.128,TCP,60,40230,4998,1
1774124084.910682700,192.168.159.130,192.168.159.128,TCP,60,40230,6580,1
1774124084.910733700,192.168.159.130,192.168.159.128,TCP,60,40230,5550,1
1774124084.910788900,192.168.159.130,192.168.159.128,TCP,60,40230,3995,1
1774124084.910808400,192.168.159.130,192.168.159.128,TCP,60,40230,8090,1
1774124084.910828600,192.168.159.130,192.168.159.128,TCP,60,40230,1580,1
1774124084.910851800,192.168.159.130,192.168.159.128,TCP,60,40230,16001,1
1774124084.910876400,192.168.159.130,192.168.159.128,TCP,60,40230,34571,1
1774124084.910898400,192.168.159.130,192.168.159.128,TCP,60,40230,3945,1
1774124084.910926200,192.168.159.130,192.168.159.128,TCP,60,40230,20828,1
1774124084.910948600,192.168.159.130,192.168.159.128,TCP,60,40230,1119,1
1774124084.910969400,192.168.159.130,192.168.159.128,TCP,60,40230,3324,1
1774124084.910991400,192.168.159.130,192.168.159.128,TCP,60,40230,15000,1
1774124084.911014900,192.168.159.130,192.168.159.128,TCP,60,40230,5500,1
1774124084.911041200,192.168.159.130,192.168.159.128,TCP,60,40230,3325,1
1774124084.911071500,192.168.159.130,192.168.159.128,TCP,60,40230,4567,1
1774124084.911095500,192.168.159.130,192.168.159.128,TCP,60,40230,20005,1
1774124084.911123300,192.168.159.130,192.168.159.128,TCP,60,40230,981,1
1774124084.911151200,192.168.159.130,192.168.159.128,TCP,60,40230,9535,1
1774124084.911227200,192.168.159.130,192.168.159.128,TCP,60,40230,4129,1
1774124084.911269700,192.168.159.130,192.168.159.128,TCP,60,40230,8290,1
1774124084.911394200,192.168.159.130,192.168.159.128,TCP,60,40230,9011,1
1774124084.911417700,192.168.159.130,192.168.159.128,TCP,60,40230,3211,1
1774124084.911440600,192.168.159.130,192.168.159.128,TCP,60,40230,1113,1
1774124084.911610100,192.168.159.130,192.168.159.128,TCP,60,40230,8333,1
1774124084.911660200,192.168.159.130,192.168.159.128,TCP,60,40230,1322,1
1774124084.911685500,192.168.159.130,192.168.159.128,TCP,60,40230,8086,1
1774124084.911710400,192.168.159.130,192.168.159.128,TCP,60,40230,8088,1
1774124084.911735100,192.168.159.130,192.168.159.128,TCP,60,40230,25734,1
1774124084.911761900,192.168.159.130,192.168.159.128,TCP,60,40230,8443,1
1774124084.911785800,192.168.159.130,192.168.159.128,TCP,60,40230,2500,1
